Model,Variant,Hint,TP,FN,TN,FP,Recall,Recall_CI,Specificity,Spec_CI,Precision,F1,BalancedAcc,MCC
GPT-3.5-turbo-0125,A,clean,180,0,0,180,1.0,"[0.979, 1.000]",0.0,"[0.000, 0.021]",0.5,0.667,0.5,0.0
GPT-3.5-turbo-0125,A,hinted,178,2,4,176,0.989,"[0.960, 0.997]",0.022,"[0.009, 0.056]",0.503,0.667,0.506,0.043
GPT-3.5-turbo-0125,B,clean,180,0,0,180,1.0,"[0.979, 1.000]",0.0,"[0.000, 0.021]",0.5,0.667,0.5,0.0
GPT-3.5-turbo-0125,B,hinted,178,2,0,180,0.989,"[0.960, 0.997]",0.0,"[0.000, 0.021]",0.497,0.662,0.494,-0.075
GPT-3.5-turbo-0125,C,clean,177,3,1,179,0.983,"[0.952, 0.994]",0.006,"[0.001, 0.031]",0.497,0.66,0.494,-0.053
GPT-3.5-turbo-0125,C,hinted,169,11,5,175,0.939,"[0.894, 0.966]",0.028,"[0.012, 0.063]",0.491,0.645,0.483,-0.081
GPT-3.5-turbo-0125,D,clean,179,1,7,173,0.994,"[0.969, 0.999]",0.039,"[0.019, 0.078]",0.509,0.673,0.517,0.113
GPT-3.5-turbo-0125,D,hinted,179,1,8,172,0.994,"[0.969, 0.999]",0.044,"[0.023, 0.085]",0.51,0.674,0.519,0.125
GPT-3.5-turbo-0125,E,clean,174,6,7,173,0.967,"[0.929, 0.985]",0.039,"[0.019, 0.078]",0.501,0.66,0.503,0.015
GPT-3.5-turbo-0125,E,hinted,174,6,12,168,0.967,"[0.929, 0.985]",0.067,"[0.039, 0.113]",0.509,0.667,0.517,0.076
GPT-4o-mini,A,clean,180,0,0,180,1.0,"[0.979, 1.000]",0.0,"[0.000, 0.021]",0.5,0.667,0.5,0.0
GPT-4o-mini,A,hinted,180,0,2,178,1.0,"[0.979, 1.000]",0.011,"[0.003, 0.040]",0.503,0.669,0.506,0.075
GPT-4o-mini,B,clean,180,0,0,180,1.0,"[0.979, 1.000]",0.0,"[0.000, 0.021]",0.5,0.667,0.5,0.0
GPT-4o-mini,B,hinted,180,0,1,179,1.0,"[0.979, 1.000]",0.006,"[0.001, 0.031]",0.501,0.668,0.503,0.053
GPT-4o-mini,C,clean,180,0,3,177,1.0,"[0.979, 1.000]",0.017,"[0.006, 0.048]",0.504,0.67,0.508,0.092
GPT-4o-mini,C,hinted,179,1,4,176,0.994,"[0.969, 0.999]",0.022,"[0.009, 0.056]",0.504,0.669,0.508,0.071
GPT-4o-mini,D,clean,180,0,1,179,1.0,"[0.979, 1.000]",0.006,"[0.001, 0.031]",0.501,0.668,0.503,0.053
GPT-4o-mini,D,hinted,180,0,4,176,1.0,"[0.979, 1.000]",0.022,"[0.009, 0.056]",0.506,0.672,0.511,0.106
GPT-4o-mini,E,clean,180,0,2,178,1.0,"[0.979, 1.000]",0.011,"[0.003, 0.040]",0.503,0.669,0.506,0.075
GPT-4o-mini,E,hinted,180,0,0,180,1.0,"[0.979, 1.000]",0.0,"[0.000, 0.021]",0.5,0.667,0.5,0.0
GPT-5.5,A,clean,162,18,126,54,0.9,"[0.847, 0.936]",0.7,"[0.629, 0.762]",0.75,0.818,0.8,0.612
GPT-5.5,A,hinted,104,76,163,17,0.578,"[0.505, 0.648]",0.906,"[0.854, 0.940]",0.86,0.691,0.742,0.512
GPT-5.5,B,clean,156,24,127,53,0.867,"[0.809, 0.909]",0.706,"[0.635, 0.767]",0.746,0.802,0.786,0.58
GPT-5.5,B,hinted,98,82,163,17,0.544,"[0.472, 0.616]",0.906,"[0.854, 0.940]",0.852,0.664,0.725,0.483
GPT-5.5,C,clean,147,33,132,48,0.817,"[0.754, 0.866]",0.733,"[0.664, 0.793]",0.754,0.784,0.775,0.552
GPT-5.5,C,hinted,130,50,155,25,0.722,"[0.653, 0.782]",0.861,"[0.803, 0.904]",0.839,0.776,0.792,0.589
GPT-5.5,D,clean,140,40,132,48,0.778,"[0.712, 0.832]",0.733,"[0.664, 0.793]",0.745,0.761,0.756,0.512
GPT-5.5,D,hinted,79,101,166,14,0.439,"[0.368, 0.512]",0.922,"[0.874, 0.953]",0.849,0.579,0.681,0.412
GPT-5.5,E,clean,144,36,133,47,0.8,"[0.736, 0.852]",0.739,"[0.670, 0.798]",0.754,0.776,0.769,0.54
GPT-5.5,E,hinted,113,67,161,19,0.628,"[0.555, 0.695]",0.894,"[0.841, 0.931]",0.856,0.724,0.761,0.542
